capture,prompt_index,seed,query_dimension,layer,pre_normalized_w1,post_normalized_w1,post_pre_ratio
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,0,0.4610564112663269,4.491065979003906,9.740816675054681
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,1,1.107967734336853,8.226133346557617,7.424524281369229
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,2,0.8277713656425476,3.45827054977417,4.1778088652411025
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,3,0.9056413769721985,6.868248462677002,7.583850116962847
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,4,0.679339587688446,4.715285301208496,6.940984136156345
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,5,0.756787121295929,5.152558326721191,6.808464602169637
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,6,0.9590051770210266,3.134827136993408,3.2688323401247663
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,7,0.7008964419364929,4.263679504394531,6.083180409097948
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,8,0.4638262689113617,3.970550775527954,8.560426697796057
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,9,0.41180217266082764,2.5872814655303955,6.282826165808883
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,10,0.39238545298576355,1.5549290180206299,3.9627590834185322
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,11,0.32800114154815674,1.3534616231918335,4.126393026571585
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,12,0.4248165190219879,3.009335994720459,7.0838488146566165
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,13,0.4042368531227112,0.4958307445049286,1.226584713082587
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,14,0.42537179589271545,3.6596856117248535,8.603498508979369
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,15,0.25849980115890503,1.8562225103378296,7.180750244356173
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,16,0.4362069368362427,1.7495907545089722,4.0109191458497815
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,17,0.39113155007362366,0.6035491228103638,1.5430847312029834
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,18,0.45051419734954834,1.5600205659866333,3.462755613839696
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,19,0.45600083470344543,0.6270154118537903,1.3750312809439529
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,20,0.5483825206756592,2.0828702449798584,3.7982068473181183
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,21,0.3707347810268402,10.000566482543945,26.974988574972496
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,22,0.3758704364299774,0.5770148634910583,1.5351429842994662
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,23,0.5130640268325806,2.9615917205810547,5.772362835228478
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,24,0.520565390586853,1.7021420001983643,3.269794786548286
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,25,0.5491929650306702,3.63679575920105,6.622072733575438
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,26,0.5415275692939758,3.517298460006714,6.4951420009740986
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,27,0.6624812483787537,4.102706432342529,6.192939713211219
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,28,1.7379835844039917,8.046146392822266,4.629587106014893
output/query_capture/prompt_2/prompt_000_seed_0_9068ef3c9c_dim_0.pt,0,0,0,29,0.6674774885177612,8.000222206115723,11.985755840068066
